symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,perChange365d,perChange30d
TV18BRDCST,TV18BRDCSTEQN,43.95,44.65,39.8,40.7,42.75,-2.05,-4.8,51.6,27.35,21412125,892671491.25,25-Oct-2023 15:59:51,20.42,-6.56
AARTIDRUGS,AARTIDRUGSEQN,490,498.7,451,461,484.25,-23.25,-4.8,645.75,313.9,659520,307131868.8,25-Oct-2023 15:58:45,5.88,-12.33
GUJALKALI,GUJALKALIEQN,676,726.95,676,688.25,723.35,-35.1,-4.85,914.7,556.35,298542,208904764.5,25-Oct-2023 15:59:24,-19.41,3.62
MMTC,MMTCEQN,58.6,58.7,57.4,57.4,60.4,-3,-4.97,89.2,26.3,3916109,226233616.93,25-Oct-2023 15:59:56,73.31,5.23
SUNTECK,SUNTECKEQN,442.55,443.05,410,413.7,436.05,-22.35,-5.13,487.5,271.1,356733,150837414.39,25-Oct-2023 15:59:55,14.25,0.67
KPIL,KPILEQN,690,705,658.5,665.05,701.7,-36.65,-5.22,723.95,433.05,617590,415082239,25-Oct-2023 15:59:08,-,12.54
HEG,HEGEQN,1621,1701,1493.45,1532.95,1633.05,-100.1,-6.13,1914,918,545959,850167354.8000001,25-Oct-2023 15:58:33,50.69,-4.25
TEAMLEASE,TEAMLEASEEQN,2587.7,2590.5,2385.55,2415,2587.7,-172.7,-6.67,2961,2007.25,84006,208523053.43999997,25-Oct-2023 15:50:57,-11.23,3.09
SAFARI,SAFARIEQN,4200,4223.2,3851,3874.9,4160.75,-285.85,-6.87,4540,1571.4,73041,289896076.95,25-Oct-2023 15:57:19,133.97,15.08
CERA,CERAEQN,8778.45,8778.5,8040,8130,8778.45,-648.45,-7.39,9740,4963.4,34373,289745828.58,25-Oct-2023 15:58:58,60.94,1.96
JUBLPHARMA,JUBLPHARMAEQN,363.8,369.4,326.15,330.25,358.5,-28.25,-7.88,485.1,268.9,914306,312006922.5,25-Oct-2023 15:55:06,6.73,-16.48
